mediaid,tags
1krp8,"[u'dubstep', u'electronic', u'bass']"
1ks0q,"[u'hip hop', u'rap', u'kansas', u'xv']"
1krzh,"[u'female vocalist', u'indie', u'canadian', u'singer-songwriter', u'pop', u'indie pop', u'cover', u'feist', u'mellow', u'chillout']"
1ks5c,"[u'chillwave', u'dreampop', u'electronic', u'indie', u'glo-fi']"
1ks6g,"[u'reggae', u'roots reggae']"
1kbc4,"[u'hip hop', u'rap', u'alternative rap']"
1kbzc,"[u'african', u'world', u'mali', u'sennik', u'world music', u'mellow', u'melancholic']"
1ksas,"[u'electro', u'electronic', u'dirty electro', u'canadian', u'house']"
1ks5y,"[u'singer-songwriter', u'indie', u'alternative', u'melodic', u'rock']"
1kr1b,"[u'indie', u'indie pop', u'alternative', u'american']"
1eahn,"[u'electronic', u'electro', u'audio video disco', u'justice', u'ed banger records', u'radio4265', u'other level', u'french', u'rock', u'electronica']"
1ddwn,"[u'chillwave', u'electronic', u'psychedelic', u'electropop', u'alternative', u'best of 2011', u'videogame', u'indie pop', u'lo-fi', u'electronica']"
1e8a9,"[u'hip hop', u'2011', u'hood', u'my addictionz', u'situations', u'wiz khalifa', u'featuring', u'5']"
1erev,"[u'house', u'summer', u'piano']"
1egj6,"[u'best of 2011', u'missy elliott', u'hip hop', u'rap', u'j cole']"
1dwev,"[u'indie', u'female vocalist', u'british', u'alternative', u'beautiful', u'indie rock', u'indie pop', u'awesome', u'pop', u'fucking awesome']"
1gff0,"[u'pop', u'dance', u'electropop', u'female vocalist', u'electronic']"
1jphx,"[u'house', u'electronic', u'dance', u'electro house', u'electro']"
1g64b,"[u'rock', u'alternative', u'blues', u'soul', u'acoustic']"
1ffz9,"[u'hip hop', u'hassanmcmillan', u'rap']"
1g6nk,"[u'francaisgdchill', u'personal favourites']"
1g5vx,[u'dubstep']
1g7r0,"[u'mashup', u'dance']"
1fz31,"[u'folk', u'female vocalist', u'british', u'indie', u'singer-songwriter']"
1g53y,"[u'2012', u'male vocalists', u'lust', u'2010s', u'groove nation', u'dance', u'hip hop', u'american', u'2011', u'pop']"
1bgn6,"[u'alt-country', u'singer-songwriter', u'female vocalist', u'indie', u'folk', u'country', u'americana']"
1bem2,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1epjs,"[u'indie', u'electronic', u'indie rock', u'post-punk', u'dance', u'dance-punk', u'rock']"
1e2kk,"[u'dubstep', u'mashup', u'zeds dead', u'female vocalist']"
1fbqe,"[u'male vocalists', u'cover', u'indie']"
1f4am,"[u'hip hop', u'rap', u'kanye west', u'jay-z']"
1etbs,"[u'house', u'groovy', u'night music', u'summer', u'club', u'dance', u'disco house', u'disco influence', u'piano']"
1f4xw,"[u'indie', u'indie rock', u'indie pop', u'alternative', u'rock']"
1espa,"[u'indie', u'smooth', u'brillian', u'indie pop', u'beautiful', u'soothing']"
1csa5,"[u'singer-songwriter', u'alt-country', u'rock', u'kansas city', u'americana', u'folk']"
1dp5k,"[u'house', u'dance', u'electronic', u'club']"
1bptt,"[u'alt-country', u'local', u'sxsw 2011']"
1bx5q,"[u'indie', u'indie rock', u'alt-country', u'rock', u'alternative']"
1bdkk,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1berf,"[u'folk', u'blues', u'alt-country', u'singer-songwriter', u'americana', u'country']"
1bxj3,"[u'alt-country', u'nashville', u'kickasstic', u'pay attention', u'recommended', u'indie', u'americana']"
1aq2h,"[u'alt-country', u'cowpunk', u'alt country', u'cow punk', u'indie', u'pub rock', u'psychobilly', u'old-time revival', u'country rock', u'rockabilly']"
1berb,"[u'folk', u'blues', u'alt-country', u'singer-songwriter', u'americana', u'country']"
1berc,"[u'folk', u'blues', u'alt-country', u'singer-songwriter', u'americana', u'country']"
1bdkm,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1bdxz,"[u'folk', u'singer-songwriter', u'alt-country', u'teh typos', u'diana', u'killforpeace', u'names', u'interesting', u'americana', u'the merch grrls']"
1bc3v,"[u'hip hop', u'2010s', u'stargate', u'2011', u'bev g', u'male vocalists', u'pop']"
1bbds,"[u'folk rock', u'singer-songwriter', u'alt-country', u'seattle', u'northwest', u'americana']"
1bdk7,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1bera,"[u'folk', u'blues', u'alt-country', u'singer-songwriter', u'americana', u'country']"
1bdm3,"[u'electro', u'french touch', u'2010s', u'nu rave', u'electronica']"
1awtf,"[u'indie', u'downtempo', u'rock', u'chillout', u'daytrotter', u'champaign-urbana', u'psychedelic', u'ambient', u'alternative', u'www daytrotter sessions']"
122mx,"[u'country', u'female vocalist', u'folk', u'singer-songwriter', u'alt-country']"
qdje,"[u'folk', u'singer-songwriter', u'americana', u'alt-country', u'country', u'townes van zandt', u'townes', u'acoustic', u'today', u'six feet under']"
1bbdx,"[u'folk rock', u'singer-songwriter', u'alt-country', u'seattle', u'northwest', u'americana']"
1atc2,"[u'southern rock', u'country', u'americana', u'singer-songwriter', u'alt-country']"
18kgj,"[u'folk', u'alt country']"
1bdk6,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1bdkc,"[u'singer-songwriter', u'alt-country', u'rock', u'indie', u'folk']"
1a055,"[u'alt-country', u'rock', u'ohio', u'athens', u'dayton']"
1bbvs,"[u'mpsvd-luisterpaal-j', u'american', u'iowan', u'folk', u'male vocals']"
19mrn,"[u'alt-country', u'nashville', u'kickasstic', u'pay attention', u'recommended', u'indie', u'americana']"
1bbhp,[u'acerbic']
1b90q,"[u'morning maniac music', u'2010s', u'2011']"
10hkx,"[u'alt-country', u'indie rock', u'americana', u'vocal harmony', u'juddery bass', u'mother american night', u'catchy', u'country rock', u'alternative', u'sweet harmony']"
bj2x,"[u'indie', u'indie rock', u'rock', u'alt-country', u'folk', u'alternative', u'chuck', u'gossip girl', u'happy', u'claps']"
19ad0,"[u'alt-country', u'local', u'sxsw 2011']"
