artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
Deathline,1353579694,1,1rde5,1,The Sound Of Confusion,187,Surrender Monkey,lofi
Deathline,1353579691,3,1rde4,1,The Sound Of Confusion,316,Nova,lofi
The Dead Ships,1352408512,13,1r39g,1,Indie Rock Reviews,199,Sordid,lofi
Weather Balloons,1353037856,2,1r95e,1,Dingus,131,Mechanical Life Vein,lofi
Dreams West,1351029090,42,1d9c1,4,Not Final ,227,Nu Age,lofi
Weather Balloons,1349879977,7,1qdc1,1,The Dadada Music Blog,71,Suck Crimped Pricks 'Cus,lofi
Go Dugong,1350488229,43,1q5x3,4,EgyptianMaraccas,283,White Sun (Sun Glitters Remix),lofi
sundrenched,1349991503,6,1qeyh,1,Analogue Spheres,166,summer ends,lofi
Go Dugong,1349732557,15,1qbxw,1,Sea Punk Gang,193,The United States Of The Ocean,lofi
the boy i used to be.,1361378792,8,1tkvh,1,DrunkenWerewolf,177,Man,lofi
Werewolf Police,1365433303,1,1vpr6,1,Ground Floor Go,39,Somewhere Cold,lofi
Safar Barlik,1361240473,4,1tj8z,1, COCO'S OCD,225,DekhanWsakar,lofi
Mount Eerie,1360670420,20,1jh4k,3,Kicking The Habit,258,Between Two Mysteries,lofi
Perfume Genius,1358235852,1041,12n58,56,Faded Glamour,164,Learning,lofi
Beach Party,1358600501,13,1sssg,1,Traxxhound,171,Over This,lofi
Go Dugong,1354978733,4,1rrsd,1,Waxhole,180,B.U. (Un.Think Remix),lofi
Teen Mom,1357158212,3,1scab,1,The Dadada Music Blog,188,You and Me,lofi
Deathline,1353579682,2,1rde3,1,The Sound Of Confusion,165,Return,lofi
The Dead Ships,1354571271,18,1rmwm,1,Indie Rock Reviews,210,You Were Young,lofi
Bill Fox,1351715901,2,1qxkm,1,Draw Us Lines,190,From a Dark Night,lofi
Nomen Novum,1342426078,10,1ngmj,1,Gold Soundz,264,"Anita, Korea",lofi
Nomen Novum,1342426075,6,1ngmh,1,Gold Soundz,246,Luminosity,lofi
Dreams West,1341698263,17,1nb1r,1,Know Phase,172,INOUI (feat. Nik @ Nite),lofi
weather balloons,1342252568,4,1nfns,1,Gold Soundz,110,jhon 7/7/12 2 take 2,lofi
Teen Suicide,1340786000,9,1n3v7,1,Discheria ElRocco 0.01,120,Everything is Fine,lofi
Hayden,1340125961,10,1myb2,1,The Music Ninja,179,More Than Alive,lofi
Teen Suicide,1340786005,20,1j65j,2,Discheria ElRocco 0.01,169,bad news,lofi
The Vinny Club,1339007353,8,npyc,2,popgoestheradio,151,Its Not You Its Of,lofi
teen suicide,1339783985,5,1mvpp,1,Cactus-Mouth,103,goblins cry too,lofi
Go Dugong,1348233554,59,1psyt,15,Super 45,202,White Sun,lofi
Dark Mother,1348564097,2,1q1s8,1,I vacation in your hell,222,Devastator Did,lofi
Nomen Novum,1345842109,1,1pcmq,1,Ohmpark,306,Ahhh Silent Field,lofi
sundrenched,1346686153,12,1pjb6,1,EgyptianMaraccas,97,groggy morningz,lofi
Dreams West,1343661164,117,1ntnn,1,ACE,224,Omni Island,lofi
