artist,dateposted,loved_count,mediaid,posted_count,sitename,time,title,tag
TOM ROBINSON,1435942212,4,2c5c1,1,The Devil Has The Best Tuna,210,Glad To Be Gay (2012),rock
Unknown Artist,1435965253,5,2c5ga,1,Blog To The Oldskool,299,Untitled (Getto Youth A2),rock
Institute,1435931367,52,2aqry,16,Side One Track One,180,Perpetual Ebb,rock
Son Little,1435859393,49,29ydg,5,You Hear That?!?,193,O Mother,rock
Foals,1435860880,1545,1033h,27,Slow Show,414,Spanish Sahara,rock
Jaill,1435852196,48,2bnxh,8,Another Dying Art Form,161,Getaway,rock
The Stone Foxes,1435857775,8,2c4w1,1,The Wild Honey Pie,185,N.Y.T. (New York Talk),rock
Sinners,1435854085,9,2c4td,1,Abouttoblow,262,BOA Remix,rock
Roma 79,1435845222,1,2c4pv,1,The Vinyl District,214,Seventeen,rock
it hugs back,1435850902,10,2c4s1,1,Austin Town Hall,327,04 Somnolence,rock
Hanni El Khatib,1435832952,114,277rm,12,Le Limonadier,213,Moonlight,rock
Mar-Kets,1435842544,2,2c4p5,1,50thirdand3rd,117,Surfer's Stomp,rock
Jukka Ja Jytämimmit,1435912522,3,2c55y,1,Urbankill,320,Ei Mun Aikani Ole Vielä,rock
Sinkane,1435908498,70,2c1hk,6,SERIALGK,642,Yacha (Peaking Lights Dub Mix),rock
URSULA,1435880581,1,2c52w,1,Boston Hassle,199,Cavegrrl,rock
Black Point,1435884721,4,2c53f,1,Keytars & Violins,280,Give Up,rock
DYLAN BRADY,1435869401,8,2c50n,1,1833 FM,111,Take Care Of My Dog When I'm Gone,rock
The Libertines,1435872910,7,2c51m,1,Overblown Webzine,210,Gunga Din,rock
TOYS,1435866644,8,2c4zk,1,XLR8R,342,Golden Line (A Theory Remix),rock
Amy Rigby,1435870969,2,2c515,1,nyctaper,177,Summer of My Wasted Youth (live at HiFi Bar),rock
Prequel,1435863454,29,2c2yj,3,Orange Peel,346,Chant For You,rock
LISBON,1435869326,28,2bxdq,5,Beat2aChord,150,KHALEESI,rock
Jaill,1435852192,19,2bag2,9,Another Dying Art Form,205,Got An F,rock
POSSE,1435753326,6,2c448,1,Music You Wanna Listen To,273,Flipside (Original Mix),rock
Laurence,1435756885,8,2bjh4,2,Orange Peel,145,Civic Video Love Song,rock
Black Mountain,1435753289,144,c05y,16,The Revue,228,Druganaut,rock
POSSE,1435753330,8,2c449,1,Music You Wanna Listen To,318,Player's Anthem (Original Mix),rock
Orange Juice,1435751776,3,2c434,1,Crying All The Way To The Chip Shop,248,Lean Period,rock
Schnipo Schranke,1435750506,6,2c42y,1,mapambulo,330,Schrank,rock
Jimmy Eat World,1435768963,6,2c48g,1,Stereofox,190,Nothingwrong,rock
Viva Voce,1435727226,3,2c3zz,1,Reselect,203,From The Devil Himself,rock
Mammút,1435745651,23,2bd71,5,Just Music That I Like,233,Blood Burst,rock
Grenadiers,1435799670,1,2c4j4,1,Happy,342,06 Stay Inside,rock
Adriano Celentano,1435829706,15,2c4kw,1,Frequenze Indipendenti,288,L'unica chance (Spillo Disko Edit),rock
Ouch My Face,1435799664,3,2c2gz,2,Happy,127,Creep Heart,rock
Grenadiers,1435799666,2,2c4j3,1,Happy,116,02 Factotum,rock
Veruca Salt,1435788853,22,2c1hb,9,Lie In The Sound,354,Empty Bottle,rock
Doss,1435788539,64,25dkx,5,music islands,204,Softpretty (Ellie Herring Remix),rock
PRIME,1435775743,25,2c4ba,1,gottadancedirty,289,NAS | LIFES A BITCH (Zander Remix),rock
MINX,1435784472,18,2c4er,1,nah right,169,East Flat Bush Project 'Tried By 12' Freestyle ONE TAKE!,rock
White,1435764069,6,2c46d,1,EUPHORIA. Magazine,180,Future Pleasures,rock
Youth Club,1435768932,37,2anc4,4,EUPHORIA. Magazine,200,Breathe,rock
Black Mountain,1435753284,13,2bnam,6,The Revue,207,Black Mountain (demo),rock
Sicotropico,1435606553,1,2c37q,1,Revista Metrónomo,189,Por ti es,rock
Sicotropico,1435606558,3,2c37r,1,Revista Metrónomo,234,Enamorao,rock
Sicotropico,1435606572,1,2c37v,1,Revista Metrónomo,402,Abierto,rock
Sicotropico,1435606566,0,2c37t,1,Revista Metrónomo,256,Gloria,rock
Cleavage,1435606524,25,2c37j,1,Y Este Finde Que,307,Can't Get Enough (Original Mix),rock
Tetra,1435597643,22,2c355,1,Popdose,175,Bad Things,rock
Angel,1435600182,47,2c32z,7,Boi-1da,201,DJ PROSTYLE feat. Nicki Minaj & Jeremih,rock
Franz Ferdinand,1435591696,179,2c1s9,2,Music You Wanna Listen To,221,Take Me Out (Regular Joe & PINEO Remix),rock
The Xcerts,1435592801,3,2c33e,1,Music Liberation,229,Shaking In The Water (Acoustic),rock
Johnny Marr,1435697792,6,2c2t5,4,Sonofmarketing,155,Exit Connection,rock
Atlas,1435721754,25,2btd5,3,acid stag,226,Spinning Back feat. James Chatburn,rock
Niagara,1435688940,3,2c3q0,1,Ambiance Jeune,644,Sangandongo (Part.2),rock
Stirrup,1435688475,0,2c3pj,1,The Deli Magazine,400,Curry Brush,rock
"The Reds, Pinks & Purples",1435671735,2,2c3ha,1,Austin Town Hall,110,Best Sides,rock
Lil Louis,1435676510,9,2c3jq,1,Electrocorp ,562,French Kiss,rock
TV On The Radio,1435626871,1955,1y9jx,32,We All Want Someone To Shout For,199,Mercy,rock
Luna Kiss,1435667301,0,2c3g6,1,The Revue,439,Take Her Away,rock
Sicotropico,1435606548,1,2c37p,1,Revista Metrónomo,303,Algo para mi,rock
Dan Andriano,1435606596,2,2c37y,1,Magnet Magazine,183,8 Enemies,rock
Sicotropico,1435606583,0,2c37w,1,Revista Metrónomo,291,Coca Man TV,rock
Hipsway,1435571364,6,1bqxh,2,The 'Spill,265,The Honeythief (12'' Mix),rock
Vampire Weekend,1435571370,3299,x9mw,45,The 'Spill,147,Cousins,rock
Kidsmoke,1435569668,2,2c2wt,1,Too Many Blogs,202,Make The Right Move,rock
Kidsmoke,1435569672,2,2c2wv,1,Too Many Blogs,285,Another World,rock
Various Artists,1435509309,4,2c2pg,1,WFMU's Beware of the Blog,86,Houston Hash,rock
Various Artists,1435509326,4,2c2pk,1,WFMU's Beware of the Blog,87,Cripple Creek Casserole,rock
Various Artists,1435509336,2,2c2pn,1,WFMU's Beware of the Blog,80,Texarkana Rice,rock
Various Artists,1435509314,2,2c2ph,1,WFMU's Beware of the Blog,98,Sunnyside Rice,rock
Various Artists,1435509331,1,2c2pm,1,WFMU's Beware of the Blog,102,Skillet Gumbo,rock
The Phantom Sound,1435579644,2,2bf8v,2,The Vinyl District,246,Get To Me,rock
YES,1435586417,1,2c31q,1,Inyourspeakers Media,90,Roundabout (Durham) (excerpt),rock
Ecstatic Vision,1435579639,5,2b72a,3,Richmond Playlist,301,Don't Kill The Vibe,rock
Ecstatic Vision,1435579636,2,2bjtf,3,Richmond Playlist,758,Astral Plane,rock
No One and the Somebodies,1435578978,3,1jxr1,2,GIMME TINNITUS,305,(Humans) Being Human (Beings),rock
Spectacular Spectacular,1435580924,14,2bwtd,3,The Revue,208,Saturday Night,rock
Sweat Lodge,1435573697,5,2bs5s,2,Rock And Roll Creations,141,'Slow Burn' (Ripple Music),rock
Baby In Vain,1435573795,12,2bxss,6,The Mad Mackerel,220,Muscles,rock
Archers Of Loaf,1435572882,1,2c2xh,1,Still in Rock,192,You And Me,rock
armadillo,1435572025,16,2c2xb,1,Indie Shuffle,182,zombie,rock
Various Artists,1435509321,5,2c2pj,1,WFMU's Beware of the Blog,137,Blue Ridge Flap-Jacks,rock
Harriet,1435345625,5,2c28d,1,Prefix Magazine,169,Ten Steps (Moon Bounce Remix),rock
MULA,1435375688,2,2c2bz,1,Soundfriend,181,Brujas,rock
Sports,1435336165,23,2c24z,1,Indie Underground,173,You Are The Right One,rock
The Cribs,1435339735,201,1jjmp,18,The Devil Has The Best Tuna,157,"Come On, Be A No-One",rock
Royale,1435327633,6,2c22b,1,Consequence of Sound,217,Under Control,rock
Dust Moth,1435325409,2,2c21n,1,KEXP Blog,303,Casual Friends,rock
Oslo,1435325428,6,2c21t,1,Stamp The Wax,282,Olsen & Chis,rock
Solid,1435317713,3,2c0s2,2,The Revue,212,bentcousin with Guiville,rock
Bob Hund,1435325374,0,2c21j,1,Regnsky,208,"Tralala lilla molntuss, kom hit ska du få en puss",rock
Mammút,1435502108,143,229wz,14,MusikBlog,345,Salt,rock
Various Artists,1435509341,2,2c2pp,1,WFMU's Beware of the Blog,77,Hopping John,rock
Delta Spirit,1435428869,7,2c2h2,1,The Mad Mackerel,197,I Feel Free,rock
Snow Patrol,1435435624,2883,2bwy3,5,Never Radio,231,Chasing Cars (Thero Remix),rock
The Fluids,1435427346,8,2950s,2,Don't Need No Melody,226,Just Like Me,rock
Drenge,1435428853,26,2c0xv,2,The Mad Mackerel,167,Bad Blood (Taylor Swift Cover),rock
Kal Marks,1435425711,9,2815n,4,buffaBLOG,162,Don't Pussy Foot With A Pussy Footer,rock
TOM ROBINSON,1435425752,3,2c2g1,1,The Devil Has The Best Tuna,142,Mighty Sword Of Justice (demo),rock
Motorpsycho,1435405803,3,2c2dg,1,Cover Me,234,Heaven & Hell,rock
The Wombats,1435411332,22,2c2ef,1,MCL: Musique au Claire de Lune,218,Be Your Shadow (Knight One Remix),rock
Highway,1435328473,3,2c22v,1,Tiny Mix Tapes,266,Hey Mother Death (Matthew Samways Remix),rock
