acousticness,danceability,duration,energy,instrumentalness,liveness,loudness,mediaid,speechiness,tempo,time_signature,valence
0.396381,0.894302,230.70621,0.553193,2.4e-05,0.06184,-8.018,1dfpn,0.030693,113.959,4,0.960079
0.009312,0.487291,332.35955,0.534447,0.001808,0.107852,-7.937,1dwev,0.031934,124.064,4,0.192565
0.001332,0.749914,184.11057,0.304431,0.452212,0.068797,-18.516,1e2kk,0.100951,75.98,4,0.921881
0.021414,0.538657,241.82667,0.824628,0.0,0.09892,-4.829,1e85t,0.043668,87.005,4,0.728269
0.014501,0.657989,271.26966,0.8653,0.492509,0.085762,-5.885,1eahn,0.037083,116.958,4,0.279198
0.00539,0.738203,387.49333,0.702456,0.106507,0.051608,-6.367,1epjs,0.086992,125.947,4,0.345665
0.840098,0.395659,219.89832,0.301525,0.000193,0.202162,-10.733,1espa,0.045618,139.848,4,0.291307
0.001127,0.295947,249.80463,0.93587,0.029434,0.106789,-3.605,1espe,0.034849,175.007,4,0.038612
0.001922,0.702037,249.25995,0.398586,0.862654,0.438673,-16.742,1etbs,0.094391,125.005,4,0.681446
0.619384,0.714983,261.3024,0.570243,1e-06,0.082325,-10.278,1f3cm,0.167725,174.983,4,0.516448
0.00019,0.43893,213.76245,0.747204,0.643654,0.116797,-7.139,1f545,0.06249,126.069,4,0.187485
0.011547,0.601822,261.27955,0.735826,0.061021,0.067195,-5.909,1f5yf,0.087685,168.026,4,0.250956
0.160662,0.570262,127.60771,0.251957,0.816644,0.084632,-16.632,1faj,0.207681,201.873,4,0.972372
0.006551,0.525991,170.34277,0.959082,5.3e-05,0.551208,-3.08,1fg3p,0.161852,170.446,4,0.654583
0.123095,0.717851,204.14939,0.657449,0.0,0.26418,-5.511,1g53y,0.043918,104.977,4,0.247251
0.060926,0.573872,293.19955,0.502499,0.158328,0.129105,-10.235,1g64b,0.032093,111.985,4,0.178081
0.535551,0.647829,228.31955,0.39744,0.002837,0.108379,-10.0,1g6nk,0.040994,141.125,4,0.19855
0.267148,0.656793,196.54621,0.440925,0.926466,0.103737,-9.173,1jgv0,0.220486,119.555,4,0.300323
0.006722,0.582126,177.34671,0.910591,0.821563,0.54909,-2.058,1jphx,0.040849,129.922,4,0.690639
0.075001,0.658029,216.82621,0.591421,0.000175,0.104006,-7.63,1k8g5,0.107201,95.093,4,0.367836
0.012262,0.693115,201.22612,0.806776,1e-06,0.309653,-5.142,1kbc4,0.034642,91.944,4,0.384527
