artist,loved_count,mediaid,posted_count,sitename,time,title,loved
Wale,441,ssza,2,Berkeley Place,309,15 Rather Be With You (Vagina Is For Lovers) f. J Cole & Currensy (prod 9th Wonder),True
White Lies,1718,jtsc,33,Indie Today,287,Death (Crystal Castles Remix),True
Röyksopp,3082,pdpr,28,JP's Blog,163,Happy Up Here,True
Matt & Kim,757,ssy8,2,musical pairings @ eating/sf,227,Yeah Yeah (Flosstradamus Remix),True
Lights On,480,kt7a,6,5 Acts,261,John And Anne,True
The Knocks,775,skyq,10,Cities of the Plain,279,Can't Shake Your Love,True
Passion Pit,2318,rtw7,7,melophobe,212,Let Your Love Grow Tall,True
Florence + The Machine,10670,t5hf,27,Friends From Far,256,Cosmic Love,True
Ra Ra Riot,2251,pg78,16,Berkeley Place,335,Ghost Under Rocks (Passion Pit Mix),True
CJ Milli,88,ssqz,1,the burning ear,252,The People's Homecoming (Kanye,True
Discovery,3649,sqpk,40,Indieball,193,So Insane,True
Daft Punk,1616,smtq,6,earmilk,322,Face to Face (Night Drugs Rework),True
Bedroom Walls,40,sps5,1,Knox Road,138,Somewhere In Newhall,True
Sharam ft. KiD CuDi,216,srm4,5,Welikeit.indie,496,She Came Along (Reup Club),True
Violent Femmes,2626,1faj,34,THE VINYL VILLAIN,145,Blister in the Sun,True
Lemon Jelly,169,sqjv,1,Blog Rockin' Peet,439,His Majesty King Raam,True
Saxon Shore,78,sq3a,2,Happy Days Are Here Again,396,Nothing Changes,True
Royksopp,505,ptrz,11,Mp3 Medication,328,Happy Up Here (Datassette Remix),True
E-603,537,sr4e,4,The Animal Show,320,If You Wanna,True
Phoenix,5525,rp9h,51,deepbeep,305,Lisztomania (Classixx Version),True
Holy Fuck,1060,b6t2,45,djnodj,269,Lovely Allen,True
Tatsu,76,spja,1,We can be honest,294,Semilla,True
Lupe Fiasco Feat. Matthew Santos,1291,sq55,1,Pigeons and Planes,275,Shining Down,True
Noisettes,3618,vdqj,15,Across The Kitchen Table,192,Never Forget You,True
Metric,16196,1bp6,61,earmilk,320,Monster Hospital (MSTRKRFT Remix),True
Phoenix,235,sphq,3,Harder Blogger Faster,210,Lisztomania (Star Guitar Remix),True
Tatsu,106,spj8,1,We can be honest,147,Our House (prod HERBIE WEST),True
Generationals,6344,sk35,59,Austin Town Hall,200,"When They Fight, They Fight",True
Frankmusik,1300,s8px,15,JayeL Audio Music,304,Confusion Girl (Don Diablo loves to slowdance remix),True
"Alphabeat, FrankMusik and Leon Jean-Marie",3380,hptp,20,Friends by Far,185,Digital Love,True
Discovery,1137,smrx,12,This Bonus Track,187,Carby (Feat. Ezra Koenig of Vampire Weekend),True
Phoenix,4256,be6z,16,JP's Blog,108,Playground Love (Air Cover),True
Frankmusik,671,n5pa,6,JayeL Audio Music,166,3 Little Words,True
